latitude,longitude,name,desc,color,source,precision
39.953342,-75.193493,3401 Walnut St Philadelphia,"3401 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.951565,-75.191693,3300 Smith Walk Philadelphia,"Smith Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951882,-75.178858,3929 Sansom St Philadelphia,"Sansom Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3330 Walnut ST Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,4209 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947795,-75.230284,4000 Baltimore Ave Philadelphia,"Baltimore Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,4100 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3730 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,4200 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953585,-75.173316,3900 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.78373,-100.445882,Walnut/Farragut St Philadelphia,US,,MapQuest Open,country
39.953287,-75.224255,4100 Pine St Philadelphia,"Pine Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953585,-75.173316,4000 Market St Philadelphia,"Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,46th/Larchwood Philadelphia,US,,MapQuest Open,country
39.951243,-75.198958,4209 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953335,-75.183643,4445 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953335,-75.183643,4441 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956856,-75.196826,3711 Market St Philadelphia,"3711 Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.78373,-100.445882,433 University Ave Philadelphia,US,,MapQuest Open,country
39.953336,-75.194889,3600 Walnut St Philadelphia,"3600 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
